Day	Time	Weather	LocationRank	Side of Town	Incident Rank	Nature	EMSSTAT
2024-00002259	5	0	1	2	NW	2	Transfer/Interfacility	1
2024-00007318	5	0	1	191	SW	1	Traffic Stop	0
2024-00007319	5	0	0	191	NE	5	Contact a Subject	0
2024-00001816	5	0	1	66	E	51	Overdose/Poisoning	1
2024-00002261	5	0	1	66	E	51	Overdose/Poisoning	1
2024-00001815	5	0	0	66	NE	32	Convulsion/Seizure	1
2024-00002260	5	0	0	66	NE	32	Convulsion/Seizure	1
2024-00007320	5	0	1	66	E	6	Suspicious	0
2024-00002262	5	0	1	3	SE	2	Transfer/Interfacility	1
2024-00007322	5	0	1	34	W	32	Supplement Report	0
2024-00007321	5	0	1	191	N	1	Traffic Stop	0
2024-00002264	5	0	1	1	N	2	Transfer/Interfacility	1
2024-00007323	5	0	1	191	SW	5	Contact a Subject	0
2024-00007328	5	0	0	191	NE	64	Reckless Driving	0
2024-00007324	5	1	0	191	N	6	Suspicious	0
2024-00007325	5	1	0	191	NW	9	Larceny	0
2024-00007327	5	1	0	191	SW	1	Traffic Stop	0
2024-00001817	5	1	0	191	SE	73	Fire Carbon Monoxide Alarm	0
2024-00002263	5	1	0	2	NW	2	Transfer/Interfacility	1
2024-00007332	5	2	0	66	NE	7	Alarm	0
2024-00007330	5	2	1	191	E	32	Burglary	0
2024-00007331	5	2	1	66	SW	7	Alarm	0
2024-00007333	5	2	1	191	W	1	Traffic Stop	0
2024-00001818	5	3	1	66	S	51	Overdose/Poisoning	1
2024-00002265	5	3	1	66	S	51	Overdose/Poisoning	1
2024-00007334	5	3	1	66	NE	6	Suspicious	0
2024-00007335	5	3	3	191	NE	13	Check Area	0
2024-00007336	5	3	1	191	NW	6	Suspicious	0
2024-00007338	5	4	1	191	NW	6	Suspicious	0
2024-00007337	5	4	0	191	NE	5	Contact a Subject	0
2024-00007339	5	4	51	191	W	4	Disturbance/Domestic	0
2024-00002267	5	4	1	21	SW	3	Sick Person	1
2024-00001819	5	4	1	66	N	23	Chest Pain	1
2024-00002266	5	4	1	66	N	23	Chest Pain	1
2024-00001820	5	4	1	15	W	3	Sick Person	1
2024-00002268	5	4	1	15	W	3	Sick Person	1
2024-00007340	5	5	1	191	N	6	Suspicious	0
2024-00007341	5	5	1	191	SW	42	COP Relationships	0
2024-00002269	5	5	1	2	NW	2	Transfer/Interfacility	1
2024-00007342	5	5	1	191	NE	6	Suspicious	0
2024-00007343	5	5	0	191	N	5	Contact a Subject	0
2024-00001821	5	6	1	21	S	45	Abdominal Pains/Problems	1
2024-00002270	5	6	1	21	S	45	Abdominal Pains/Problems	1
2024-00007349	5	6	1	191	W	64	Debris in Roadway	0
2024-00007344	5	6	3	191	NE	48	Stolen Vehicle	0
2024-00002271	5	6	1	1	N	2	Transfer/Interfacility	1
2024-00002275	5	6	1	2	NW	2	Transfer/Interfacility	1
2024-00007345	5	7	1	191	N	6	Suspicious	0
2024-00007346	5	7	0	191	N	15	MVA Non Injury	0
2024-00001822	5	7	1	66	SE	17	Hemorrhage/Lacerations	1
2024-00002272	5	7	1	66	SE	17	Hemorrhage/Lacerations	1
